代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sz200037,深南电B,2.17,0.05,2.358,2.17,2.18,2.12,2.12,2.2,2.12,775612,1674956
sz200045,深纺织Ｂ,4.5,-0.11,-2.386,4.5,4.53,4.61,4.58,4.58,4.5,202000,915491
sz200055,方大Ｂ,1.26,-0.01,-0.787,1.26,1.27,1.27,1.26,1.27,1.26,85101,107441
sz200056,皇庭B,0.75,0.01,1.351,0.74,0.75,0.74,0.74,0.75,0.74,111600,83079
sz200058,深赛格B,1.83,-0.01,-0.543,1.83,1.84,1.84,1.84,1.84,1.83,44900,82426
sz200429,粤高速Ｂ,8.89,-0.05,-0.559,8.88,8.89,8.94,8.91,8.96,8.87,490000,4358015
sz200468,宁通信B,4.46,0.02,0.45,4.43,4.46,4.44,4.44,4.46,4.4,62300,276151
sz200488,ST晨鸣B,0.89,0.0,0.0,0.88,0.89,0.89,0.9,0.9,0.88,373002,330413
sz200505,京粮B,1.97,-0.02,-1.005,1.97,1.98,1.99,2.0,2.0,1.97,50330,99263
sz200512,闽灿坤Ｂ,2.66,-0.16,-5.674,2.66,2.68,2.82,2.78,2.78,2.66,596889,1618251
sz200521,虹美菱B,3.08,-0.1,-3.145,3.07,3.08,3.18,3.18,3.18,3.07,1355763,4219695
sz200530,冰山B,1.7,0.02,1.19,1.69,1.7,1.68,1.69,1.7,1.68,201870,340140
sz200539,粤电力Ｂ,2.01,-0.01,-0.495,2.01,2.02,2.02,2.02,2.02,2.0,575160,1158039
sz200541,粤照明Ｂ,2.07,0.0,0.0,2.07,2.08,2.07,2.07,2.08,2.06,59580,123536
sz200550,江 铃Ｂ,10.02,0.0,0.0,10.02,10.03,10.02,10.02,10.05,10.01,139100,1394991
sz200553,安道麦B,2.58,-0.07,-2.642,2.58,2.63,2.65,2.65,2.65,2.58,192600,505284
sz200570,苏常柴Ｂ,2.1,0.09,4.478,2.09,2.11,2.01,1.99,2.11,1.99,2683386,5580269
sz200581,苏威孚Ｂ,14.47,-0.13,-0.89,14.46,14.47,14.6,14.61,14.61,14.45,106700,1546970
sz200596,古井贡Ｂ,68.56,0.31,0.454,68.55,68.6,68.25,68.25,68.87,68.25,79700,5472486
sz200625,长 安Ｂ,4.0,0.03,0.756,3.99,4.0,3.97,3.97,4.02,3.97,2363500,9467711
sz200706,瓦轴B,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0,0
sz200725,京东方Ｂ,3.83,0.13,3.514,3.82,3.83,3.7,3.74,3.83,3.74,3748933,14196533
sz200726,鲁 泰Ｂ,4.95,0.0,0.0,4.95,4.96,4.95,4.97,4.97,4.94,57900,286628
sz200761,本钢板Ｂ,1.18,0.01,0.855,1.17,1.18,1.17,1.17,1.18,1.16,494400,578774
sz200869,张 裕Ｂ,7.63,0.02,0.263,7.63,7.64,7.61,7.61,7.64,7.61,74320,567127
sz200992,中 鲁Ｂ,2.22,-0.04,-1.77,2.23,2.24,2.26,2.26,2.26,2.22,99800,222374
sz201872,招港B,16.34,0.0,0.0,16.33,16.34,16.34,16.32,16.37,16.32,44900,734122
